name,folder,video_seq,traction,x_torse,y_torse,x_barre,y_barre,phase
im_4,images4,15,1,0.4656250741766624,0.5686701397279486,0.4830273424909587,0.2358999401174288,training
im_2800,images1,6,0,0.0,0.0,0.0,0.0,training
im_3436,images1,7,1,0.48914409500483247,0.16531164089500075,0.5040240287775333,0.07302221564315693,training
im_4117,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1675,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_1331,images1,3,1,0.3994420420300831,0.44232044830162714,0.42328574416906656,0.30171857566696925,training
im_840,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_267,images10,23,1,0.0,0.0,0.0,0.0,training
im_1452,images1,5,1,0.4941860465116279,0.3565891472868217,0.5038759689922481,0.07170542635658914,training
im_2934,images1,6,0,0.0,0.0,0.0,0.0,training
im_361,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_35,images13,26,1,0.0,0.0,0.0,0.0,training
im_1052,images1,3,1,0.37146412971059295,0.6483505348859118,0.42392448338178457,0.30042669662464255,training
images (4),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_95,images10,23,1,0.0,0.0,0.0,0.0,training
im_2771,images1,6,0,0.0,0.0,0.0,0.0,training
im_549,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_2526,images1,6,0,0.0,0.0,0.0,0.0,training
im_446,images12,25,1,0.0,0.0,0.0,0.0,training
im_1619,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_2649,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (9),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_43,images8,19,1,0.47664530929217586,0.20273717056975876,0.46665813006270623,0.1576627002907045,training
im_3,images6,17,1,0.4690175851438416,0.5372575831876724,0.48566806522327743,0.2387069883222589,training
images,no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_279,images11,24,1,0.0,0.0,0.0,0.0,training
images (50),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_419,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_3299,images1,7,1,0.4967758234470717,0.4094586767546951,0.5004041069171968,0.07050570480615453,training
téléchargement (16),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_943,images1,2,1,0.40071914771348627,0.4785369315838521,0.4309274020369096,0.309644366081529,training
im_273,images13,26,1,0.0,0.0,0.0,0.0,training
im_268,images8,19,1,0.4764645533513963,0.4718032787758921,0.46986921255089537,0.15159948603860265,training
im_2561,images1,6,0,0.0,0.0,0.0,0.0,training
images (56),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_724,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
images (14),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_352,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_79,images3,14,1,0.48487666552182546,0.38597398771139957,0.4881385602568171,0.2407797936987806,training
im_329,images12,25,1,0.0,0.0,0.0,0.0,training
im_399,images4,15,1,0.4708082176130115,0.5214990775077148,0.483591410089091,0.2389095750864635,training
im_4048,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_150,images6,17,1,0.46120332063288805,0.5595267559699807,0.47726208911097023,0.23829693282622177,training
im_4135,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_2700,images1,6,0,0.0,0.0,0.0,0.0,training
im_59,images4,15,1,0.46851679926658957,0.3080705304819144,0.48192687686568436,0.24096758460014236,training
im_360,images13,26,1,0.0,0.0,0.0,0.0,training
im_2,images12,25,1,0.0,0.0,0.0,0.0,training
images (44),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_37,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (18),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
téléchargement (9),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_1734,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1997,images1,6,0,0.0,0.0,0.0,0.0,training
im_1612,images1,5,1,0.5043087695853319,0.11798387480481587,0.5027127624798564,0.06852015656457348,training
im_2425,images1,6,0,0.0,0.0,0.0,0.0,training
images (70),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
téléchargement,no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_1834,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (95),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_3026,images1,6,0,0.0,0.0,0.0,0.0,training
images (76),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
images (49),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_120,images13,26,1,0.0,0.0,0.0,0.0,training
im_1362,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (45),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_355,images3,14,1,0.4799725134382749,0.4380920826033598,0.4842104030447087,0.24179804703966334,training
im_330,images5,16,1,0.48514021863487083,0.520693583106816,0.4884687514816661,0.23813842129234805,training
im_3315,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_43,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_240,images11,24,1,0.0,0.0,0.0,0.0,training
im_540,images1,2,1,0.3901288027342451,0.6284629229136033,0.42779045024178247,0.3024990968935899,training
im_360,images1,2,1,0.3963243159593533,0.6182686174833526,0.42616117253143293,0.3063572875694986,training
im_2544,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_3107,images1,7,1,0.4921422879188655,0.38451539244393645,0.49152668020752494,0.06909783184154768,training
téléchargement (4),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
images (4),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
images (109),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_1057,images1,3,1,0.3764254942687606,0.6645205732528684,0.4244304964752756,0.300680790157626,training
téléchargement (3),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_1087,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_2516,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_1696,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (49),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_76,images13,26,1,0.0,0.0,0.0,0.0,training
im_568,images11,24,1,0.0,0.0,0.0,0.0,training
images (56),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_84,images13,26,1,0.0,0.0,0.0,0.0,training
im_318,images7,18,1,0.4604702618494502,0.4802109678049976,0.4636450598330228,0.1509709006048408,training
images (36),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_321,images3,14,1,0.48187621505540945,0.33346091987471815,0.48254093598001924,0.2415713076524329,training
im_3546,images1,7,1,0.4954353406111842,0.24086736364126707,0.5025194366867621,0.07587603896362145,training
im_1185,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
images (101),pull_up_google,27,1,0.0,0.0,0.0,0.0,training
im_252,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_3777,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_3674,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_760,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_2928,images1,6,0,0.0,0.0,0.0,0.0,training
images (52),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_1579,images1,5,1,0.494251420663968,0.35843656855437117,0.4976849434582638,0.07495141456103381,training
images (8),no_pull_up_google,28,0,0.0,0.0,0.0,0.0,training
im_640,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
im_907,only_not_hanging2,21,0,0.0,0.0,0.0,0.0,training
im_187,only_not_hanging1,20,0,0.0,0.0,0.0,0.0,training
