,name,folder,video_seq,traction,barre,torse
0,im_1,images3,1,1,"[0.4883720930232558, 0.24224806201550386]","[0.4786821705426357, 0.5387596899224806]"
1,im_16,images3,1,1,"[0.4806201550387597, 0.2364341085271318]","[0.47674418604651164, 0.4437984496124031]"
2,im_31,images3,1,1,"[0.4941860465116279, 0.24031007751937986]","[0.4806201550387597, 0.38953488372093026]"
3,im_46,images3,1,1,"[0.4844961240310077, 0.24031007751937986]","[0.47674418604651164, 0.3062015503875969]"
4,im_61,images3,1,1,"[0.4844961240310077, 0.23837209302325582]","[0.4806201550387597, 0.3178294573643411]"
5,im_76,images3,1,1,"[0.4883720930232558, 0.24031007751937986]","[0.4844961240310077, 0.374031007751938]"
6,im_91,images3,1,1,"[0.4844961240310077, 0.24224806201550386]","[0.4844961240310077, 0.42054263565891475]"
7,im_106,images3,1,1,"[0.48255813953488375, 0.24224806201550386]","[0.4806201550387597, 0.4263565891472868]"
8,im_121,images3,1,1,"[0.4883720930232558, 0.23837209302325582]","[0.48255813953488375, 0.46511627906976744]"
9,im_136,images3,1,1,"[0.4883720930232558, 0.24224806201550386]","[0.48643410852713176, 0.4903100775193798]"
10,im_151,images3,1,1,"[0.49224806201550386, 0.24224806201550386]","[0.47674418604651164, 0.5174418604651163]"
11,im_166,images3,1,1,"[0.4941860465116279, 0.2441860465116279]","[0.4806201550387597, 0.5678294573643411]"
12,im_181,images3,1,1,"[0.49612403100775193, 0.2441860465116279]","[0.4786821705426357, 0.5891472868217055]"
13,im_196,images3,1,1,"[0.4883720930232558, 0.2441860465116279]","[0.47674418604651164, 0.5658914728682171]"
14,im_211,images3,1,1,"[0.4844961240310077, 0.24224806201550386]","[0.4806201550387597, 0.562015503875969]"
15,im_226,images3,1,1,"[0.4883720930232558, 0.24031007751937986]","[0.47093023255813954, 0.5426356589147286]"
16,im_241,images3,1,1,"[0.4844961240310077, 0.24224806201550386]","[0.48255813953488375, 0.5077519379844961]"
17,im_256,images3,1,1,"[0.4786821705426357, 0.24612403100775193]","[0.49806201550387597, 0.31976744186046513]"
18,im_271,images3,1,1,"[0.4786821705426357, 0.24031007751937986]","[0.4786821705426357, 0.39728682170542634]"
19,im_286,images3,1,1,"[0.48255813953488375, 0.24224806201550386]","[0.4806201550387597, 0.3488372093023256]"
20,im_301,images3,1,1,"[0.47674418604651164, 0.2364341085271318]","[0.4806201550387597, 0.31976744186046513]"
21,im_316,images3,1,1,"[0.4786821705426357, 0.24224806201550386]","[0.48255813953488375, 0.3236434108527132]"
22,im_331,images3,1,1,"[0.4883720930232558, 0.23837209302325582]","[0.4786821705426357, 0.35852713178294576]"
23,im_346,images3,1,1,"[0.48255813953488375, 0.24224806201550386]","[0.47674418604651164, 0.3953488372093023]"
24,im_361,images3,1,1,"[0.48643410852713176, 0.24031007751937986]","[0.48255813953488375, 0.4689922480620155]"
25,im_376,images3,1,1,"[0.48643410852713176, 0.23837209302325582]","[0.4844961240310077, 0.5251937984496124]"
26,im_391,images3,1,1,"[0.48643410852713176, 0.2441860465116279]","[0.4786821705426357, 0.5678294573643411]"
